Date(UTC),Pair,Side,Price,Executed,Amount,Fee
21/12/2020 18:28,BTCUSDT,BUY,"22,809.14",0.0003640000BTC,8.30252696USDT,0.0000003600BTC
21/12/2020 18:28,BTCUSDT,BUY,"22,809.14",0.0004640000BTC,10.58344096USDT,0.0000004600BTC
21/12/2020 18:28,BTCUSDT,BUY,"22,809.14",0.0014390000BTC,32.82235246USDT,0.0000014400BTC
21/12/2020 18:28,BTCUSDT,BUY,"22,809.14",0.0014300000BTC,32.61707020USDT,0.0000014300BTC
04/01/2021 07:06,THETAUSDT,SELL,2.05,152.3000000000THETA,312.21500000USDT,0.3122150000USDT
04/01/2021 10:14,DCRUSDT,SELL,43.385,2.4950000000DCR,108.24557500USDT,0.1082455800USDT
04/01/2021 10:14,DCRUSDT,SELL,43.4,1.0830000000DCR,47.00220000USDT,0.0470022000USDT
04/01/2021 10:15,BTCUSDT,SELL,"29,300.00",0.0130800000BTC,383.24400000USDT,0.3832440000USDT
04/01/2021 12:21,BTCUSDT,BUY,"31,187.47",0.0208550000BTC,650.41468685USDT,0.0000208600BTC
04/01/2021 12:21,BTCUSDT,BUY,"31,185.42",0.0114690000BTC,357.66558198USDT,0.0000114700BTC
04/01/2021 13:35,THETABTC,BUY,0.00006343,69.0000000000THETA,0.00437667BTC,0.0690000000THETA
04/01/2021 13:35,THETABTC,BUY,0.00006342,48.0000000000THETA,0.00304416BTC,0.0480000000THETA
07/01/2021 18:19,BTCUSDT,SELL,"39,259.88",0.0193840000BTC,761.01351392USDT,0.7610135100USDT
07/01/2021 18:19,BTCUSDT,SELL,"39,268.40",0.0007200000BTC,28.27324800USDT,0.0282732500USDT
07/01/2021 18:19,BTCUSDT,SELL,"39,259.88",0.0047570000BTC,186.75924916USDT,0.1867592500USDT
07/01/2021 19:40,BTCUSDT,BUY,"39,006.76",0.0121200000BTC,472.76193120USDT,0.0000121200BTC
08/01/2021 00:15,DCRUSDT,BUY,58.208,0.7000000000DCR,40.74560000USDT,0.0007000000DCR
08/01/2021 00:15,DCRUSDT,BUY,58.303,1.2780000000DCR,74.51123400USDT,0.0012780000DCR
08/01/2021 00:15,DCRUSDT,BUY,58.128,0.2420000000DCR,14.06697600USDT,0.0002420000DCR
08/01/2021 00:15,DCRUSDT,BUY,58.218,0.2420000000DCR,14.08875600USDT,0.0002420000DCR
08/01/2021 00:16,THETAUSDT,BUY,2.00732,40.2000000000THETA,80.69426400USDT,0.0402000000THETA
08/01/2021 00:18,BTCUSDT,BUY,"39,497.94",0.0072350000BTC,285.76759590USDT,0.0000072400BTC
08/01/2021 02:26,BTCUSDT,SELL,"37,300.00",0.0184310000BTC,687.47630000USDT,0.6874763000USDT
08/01/2021 12:10,BTCUSDT,BUY,"41,600.00",0.0158860000BTC,660.85760000USDT,0.0000158900BTC
08/01/2021 12:10,BTCUSDT,BUY,"41,513.02",0.0005060000BTC,21.00558812USDT,0.0000005100BTC
10/01/2021 18:53,BTCUSDT,SELL,"37,843.20",0.0000060000BTC,0.22705920USDT,0.0002270600USDT
10/01/2021 18:53,BTCUSDT,SELL,"37,829.89",0.0016600000BTC,62.79761740USDT,0.0627976200USDT
10/01/2021 18:53,BTCUSDT,SELL,"37,831.63",0.0160000000BTC,605.30608000USDT,0.6053060800USDT
28/01/2021 12:36,DOGEUSDT,BUY,0.0124005,"27,665.0000000000DOGE",343.05983250USDT,27.6650000000DOGE
29/01/2021 15:51,DOGEUSDT,BUY,0.0564948,"1,867.0000000000DOGE",105.47579160USDT,1.8670000000DOGE
31/01/2021 01:18,XRPUSDT,BUY,0.43116,259.9000000000XRP,112.05848400USDT,0.2599000000XRP
31/01/2021 17:18,DOGEUSDT,BUY,0.030812,"1,781.0000000000DOGE",54.87617200USDT,1.7810000000DOGE
31/01/2021 17:27,XRPUSDT,SELL,0.45225,256.6000000000XRP,116.04735000USDT,0.1160473500USDT
01/02/2021 07:54,XRPUSDT,BUY,0.62654,206.0000000000XRP,129.06724000USDT,0.2060000000XRP
01/02/2021 11:58,XRPUSDT,SELL,0.65424,203.0000000000XRP,132.81072000USDT,0.1328107200USDT
01/02/2021 12:01,XRPUSDT,BUY,0.6176,163.0000000000XRP,100.66880000USDT,0.1630000000XRP
01/02/2021 20:59,ETHUSDT,BUY,"1,336.22",0.0529500000ETH,70.75284900USDT,0.0000529500ETH
06/02/2021 15:38,DOGEEUR,BUY,0.04226,320.2000000000DOGE,13.53165200EUR,0.3202000000DOGE
06/02/2021 15:38,DOGEEUR,BUY,0.04227,319.7000000000DOGE,13.51371900EUR,0.3197000000DOGE
06/02/2021 15:38,DOGEEUR,BUY,0.04225,64.1000000000DOGE,2.70822500EUR,0.0641000000DOGE
06/02/2021 15:38,DOGEEUR,BUY,0.04228,"15,048.4000000000DOGE",636.24635200EUR,15.0484000000DOGE
08/02/2021 17:17,DOGEEUR,BUY,0.06576,"3,649.6000000000DOGE",239.99769600EUR,3.6496000000DOGE
08/02/2021 18:26,DOGEEUR,BUY,0.06434,778.9000000000DOGE,50.11442600EUR,0.7789000000DOGE
08/02/2021 18:26,DOGEEUR,BUY,0.06434,"1,571.0000000000DOGE",101.07814000EUR,1.5710000000DOGE
08/02/2021 23:08,ADAEUR,BUY,0.56427,982.9000000000ADA,554.62098300EUR,0.9829000000ADA
08/02/2021 23:09,ETHEUR,BUY,"1,423.06",0.3894100000ETH,554.15379460EUR,0.0003894100ETH
09/02/2021 09:44,DOGEUSDT,SELL,0.0767672,"14,588.0000000000DOGE","1,119.87991360USDT",1.1198799100USDT
09/02/2021 09:44,DOGEUSDT,SELL,0.0767672,"13,599.0000000000DOGE","1,043.95715280USDT",1.0439571500USDT
09/02/2021 09:44,DOGEUSDT,SELL,0.0767334,"22,870.0000000000DOGE","1,754.89285800USDT",1.7548928600USDT
09/02/2021 10:00,DOGEUSDT,BUY,0.0783,"50,065.0000000000DOGE","3,920.08950000USDT",50.0650000000DOGE
09/02/2021 15:23,DOGEUSDT,SELL,0.07079,281.0000000000DOGE,19.89199000USDT,0.0198919900USDT
09/02/2021 15:23,DOGEUSDT,SELL,0.0707901,"4,387.0000000000DOGE",310.55616870USDT,0.3105561700USDT
09/02/2021 15:23,DOGEUSDT,SELL,0.0708,"2,824.0000000000DOGE",199.93920000USDT,0.1999392000USDT
09/02/2021 15:23,DOGEUSDT,SELL,0.0707837,"41,415.0000000000DOGE","2,931.50693550USDT",2.9315069400USDT
09/02/2021 15:23,DOGEUSDT,SELL,0.0708659,282.0000000000DOGE,19.98418380USDT,0.0199841800USDT
09/02/2021 15:23,DOGEUSDT,SELL,0.070855,"2,664.0000000000DOGE",188.75772000USDT,0.1887577200USDT
09/02/2021 16:26,DOGEUSDT,BUY,0.065145,"28,144.0000000000DOGE","1,833.44088000USDT",28.1440000000DOGE
09/02/2021 16:27,DOGEUSDT,BUY,0.0674034,296.0000000000DOGE,19.95140640USDT,0.2960000000DOGE
09/02/2021 16:27,DOGEUSDT,BUY,0.0674037,359.0000000000DOGE,24.19792830USDT,0.3590000000DOGE
09/02/2021 16:27,DOGEUSDT,BUY,0.0674036,"8,117.0000000000DOGE",547.11502120USDT,8.1170000000DOGE
09/02/2021 16:27,DOGEUSDT,BUY,0.067456,"16,513.0000000000DOGE","1,113.90092800USDT",16.5130000000DOGE
09/02/2021 16:38,DOGEUSDT,BUY,0.068,"1,755.0000000000DOGE",119.34000000USDT,1.7550000000DOGE
10/02/2021 08:53,BNBEUR,BUY,119.4338,0.4510000000BNB,53.86464380EUR,0.0003382500BNB
10/02/2021 17:55,ADAEUR,BUY,0.70413,31.0000000000ADA,21.82803000EUR,0.0001499900BNB
10/02/2021 17:56,ETHEUR,BUY,"1,441.62",0.0763800000ETH,110.11093560EUR,0.0007573200BNB
10/02/2021 23:01,ADAEUR,BUY,0.74034,95.1000000000ADA,70.40633400EUR,0.0005019900BNB
11/02/2021 09:42,EURUSDT,SELL,1.209,323.1900000000EUR,390.73671000USDT,0.0023900800BNB
11/02/2021 09:43,EURUSDT,SELL,1.2089,16.3000000000EUR,19.70507000USDT,0.0001205300BNB
11/02/2021 10:08,BTTUSDT,BUY,0.0011839,"21,140.0000000000BTT",25.02764600USDT,0.0001501400BNB
11/02/2021 10:08,BTTUSDT,BUY,0.001184,"6,878.0000000000BTT",8.14355200USDT,0.0000488400BNB
11/02/2021 10:08,BTTUSDT,BUY,0.0011839,"21,140.0000000000BTT",25.02764600USDT,0.0001501400BNB
11/02/2021 10:08,BTTUSDT,BUY,0.0011839,"21,140.0000000000BTT",25.02764600USDT,0.0001501400BNB
11/02/2021 10:08,BTTUSDT,BUY,0.0011833,"65,790.0000000000BTT",77.84930700USDT,0.0004672700BNB
11/02/2021 10:08,BTTUSDT,BUY,0.0011839,"16,918.0000000000BTT",20.02922020USDT,0.0001201500BNB
11/02/2021 10:08,BTTUSDT,BUY,0.0011839,"21,140.0000000000BTT",25.02764600USDT,0.0001501400BNB
11/02/2021 10:08,BTTUSDT,BUY,0.0011839,"21,140.0000000000BTT",25.02764600USDT,0.0001501400BNB
11/02/2021 10:08,BTTUSDT,BUY,0.0011839,"21,140.0000000000BTT",25.02764600USDT,0.0001501400BNB
11/02/2021 10:08,BTTUSDT,BUY,0.0011839,"21,140.0000000000BTT",25.02764600USDT,0.0001501400BNB
11/02/2021 10:08,BTTUSDT,BUY,0.0011839,"21,140.0000000000BTT",25.02764600USDT,0.0001501400BNB
11/02/2021 10:09,DENTUSDT,BUY,0.0009145,"8,090.0000000000DENT",7.39830500USDT,0.0000448900BNB
11/02/2021 10:09,DENTUSDT,BUY,0.0009142,"32,275.0000000000DENT",29.50580500USDT,0.0001791200BNB
11/02/2021 10:09,DENTUSDT,BUY,0.0009132,"27,353.0000000000DENT",24.97875960USDT,0.0001518000BNB
11/02/2021 10:09,DENTUSDT,BUY,0.0009133,"16,160.0000000000DENT",14.75892800USDT,0.0000896800BNB
11/02/2021 10:09,DENTUSDT,BUY,0.0009133,"26,461.0000000000DENT",24.16683130USDT,0.0001468500BNB
11/02/2021 10:10,WINUSDT,BUY,0.00020599,"56,861.0000000000WIN",11.71279739USDT,0.0000703600BNB
11/02/2021 10:28,GRTEUR,BUY,1.4181,0.9400000000GRT,1.33301400EUR,0.0000096700BNB
11/02/2021 10:28,GRTEUR,BUY,1.4197,71.4200000000GRT,101.39497400EUR,0.0007355100BNB
11/02/2021 10:42,EURUSDT,SELL,1.2088,200.0000000000EUR,241.76000000USDT,0.0014753400BNB
11/02/2021 10:42,EURUSDT,SELL,1.2088,16.7600000000EUR,20.25948800USDT,0.0001236300BNB
11/02/2021 10:42,EURUSDT,SELL,1.2088,200.0000000000EUR,241.76000000USDT,0.0014753400BNB
11/02/2021 10:42,EURUSDT,SELL,1.2087,84.8500000000EUR,102.55819500USDT,0.0006258600BNB
11/02/2021 10:42,NPXSUSDT,BUY,0.0009495,"26,381.0000000000NPXS",25.04875950USDT,0.0001529400BNB
11/02/2021 10:42,NPXSUSDT,BUY,0.0009495,"21,105.0000000000NPXS",20.03919750USDT,0.0001223500BNB
11/02/2021 10:42,NPXSUSDT,BUY,0.0009496,"50,102.0000000000NPXS",47.57685920USDT,0.0002904600BNB
11/02/2021 10:42,NPXSUSDT,BUY,0.0009495,"3,899.0000000000NPXS",3.70210050USDT,0.0000225900BNB
11/02/2021 10:42,NPXSUSDT,BUY,0.0009495,"26,381.0000000000NPXS",25.04875950USDT,0.0001529400BNB
11/02/2021 11:00,GRTUSDT,BUY,1.66496,40.8000000000GRT,67.93036800USDT,0.0004094200BNB
11/02/2021 11:38,GRTUSDT,BUY,1.72427,24.2000000000GRT,41.72733400USDT,0.0002563500BNB
14/02/2021 00:25,DENTUSDT,BUY,0.0014192,"10,558.0000000000DENT",14.98391360USDT,0.0000848000BNB
14/02/2021 00:26,CRVUSDT,BUY,3.27,22.0800000000CRV,72.20160000USDT,0.0004074600BNB
14/02/2021 00:26,NPXSUSDT,BUY,0.001025,"53,538.0000000000NPXS",54.87645000USDT,0.0003111800BNB
14/02/2021 00:26,NPXSUSDT,BUY,0.0010249,"22,826.0000000000NPXS",23.39436740USDT,0.0001326700BNB
14/02/2021 00:27,BTTUSDT,BUY,0.0012274,"36,024.0000000000BTT",44.21585760USDT,0.0002507200BNB
14/02/2021 00:27,BTTUSDT,BUY,0.0012265,"9,493.0000000000BTT",11.64316450USDT,0.0000660600BNB
14/02/2021 00:28,XMRUSDT,BUY,236.34,0.2225400000XMR,52.59510360USDT,0.0002992900BNB
15/02/2021 17:01,DOGEUSDT,BUY,0.0599402,204.0000000000DOGE,12.22780080USDT,0.0000695200BNB
16/02/2021 12:53,BTCEUR,BUY,"41,069.41",0.0017740000BTC,72.85713334EUR,0.0005036000BNB
16/02/2021 12:53,BTCEUR,BUY,"41,069.42",0.0036850000BTC,151.34081270EUR,0.0010498800BNB
16/02/2021 12:53,BTCEUR,BUY,"41,079.77",0.0063450000BTC,260.65114065EUR,0.0018067100BNB
16/02/2021 12:53,BTCEUR,BUY,"41,039.15",0.0003390000BTC,13.91227185EUR,0.0000967500BNB
17/02/2021 19:53,BNBUSDT,BUY,165.1107,0.5000000000BNB,82.55535000USDT,0.0003750000BNB
19/02/2021 22:09,BNBEUR,BUY,278.9067,0.8980000000BNB,250.45821660EUR,0.0006735000BNB
19/02/2021 22:11,BTCEUR,BUY,"45,736.84",0.0054820000BTC,250.72935688EUR,0.0006881200BNB
19/02/2021 22:14,DODOBTC,BUY,0.00010271,1.2000000000DODO,0.00012325BTC,0.0000151200BNB
19/02/2021 22:14,DODOBTC,BUY,0.00010268,10.3000000000DODO,0.00105760BTC,0.0001298200BNB
19/02/2021 22:14,DODOBTC,BUY,0.00010267,3.4000000000DODO,0.00034908BTC,0.0000428500BNB
19/02/2021 22:14,DODOBTC,BUY,0.00010285,5.2000000000DODO,0.00053482BTC,0.0000655400BNB
19/02/2021 22:14,DODOBTC,BUY,0.00010256,7.1000000000DODO,0.00072818BTC,0.0000894900BNB
19/02/2021 22:14,DODOBTC,BUY,0.00010285,4.3000000000DODO,0.00044226BTC,0.0000541900BNB
23/02/2021 12:38,ADAEUR,BUY,0.75,0.5000000000ADA,0.37500000EUR,0.0000016500BNB
23/02/2021 12:38,ADAEUR,BUY,0.75081,45.5000000000ADA,34.16185500EUR,0.0001504100BNB
23/02/2021 12:38,ADAEUR,BUY,0.75044,14.7000000000ADA,11.03146800EUR,0.0000485900BNB
23/02/2021 12:38,ADAEUR,BUY,0.75044,20.1000000000ADA,15.08384400EUR,0.0000664400BNB
23/02/2021 12:38,ADAEUR,BUY,0.75011,19.0000000000ADA,14.25209000EUR,0.0000628000BNB
23/02/2021 12:41,EURUSDT,SELL,1.2131,424.9900000000EUR,515.55536900USDT,0.0019255700BNB
23/02/2021 12:41,EURUSDT,SELL,1.2131,0.0400000000EUR,0.04852400USDT,0.0000001800BNB
23/02/2021 12:41,SOLUSDT,BUY,13.4764,6.9700000000SOL,93.93050800USDT,0.0003466000BNB
23/02/2021 12:45,XEMUSDT,BUY,0.4772,215.7500000000XEM,102.95590000USDT,0.0003651000BNB
23/02/2021 12:54,BNBUSDT,BUY,221.0773,0.1180000000BNB,26.08712140USDT,0.0000885000BNB
23/02/2021 13:04,1INCHUSDT,BUY,3.4909,18.04000000001INCH,62.97583600USDT,0.0002133600BNB
